ANO;ESTADO;CÓDIGO IBGE;Municípios;Vendas
2008;Acre ;1200013;ACRELANDIA;1030000
2008;Acre ;1200054;ASSIS BRASIL;335000
2008;Acre ;1200104;BRASILEIA;765000
2008;Acre ;1200138;BUJARI;572000
2008;Acre ;1200179;CAPIXABA;1013000
2008;Acre ;1200203;CRUZEIRO DO SUL;7112640
2008;Acre ;1200252;EPITACIOLANDIA;1192000
2008;Acre ;1200302;FEIJO;615000
2008;Acre ;1200328;JORDAO;25000
2008;Acre ;1200336;MANCIO LIMA;575000
2008;Acre ;1200344;MANOEL URBANO;292000
2008;Acre ;1200351;MARECHAL THAUMATURGO;370000
2008;Acre ;1200203;MARIO LOBAO;295000
2008;Acre ;1200385;PLACIDO DE CASTRO;840000
2008;Acre ;1200807;PORTO ACRE;1073000
2008;Acre ;1200393;PORTO WALTER;65000
2008;Acre ;1200401;RIO BRANCO;46994000
2008;Acre ;1200427;RODRIGUES ALVES;310000
2008;Acre ;1200500;SENA MADUREIRA;2060000
2008;Acre ;1200450;SENADOR GUIOMARD;2020000
2008;Acre ;1200609;TARAUACA;1570305
2008;Acre ;1200708;XAPURI;838000
2008;Alagoas ;2700102;AGUA BRANCA;602000
2008;Alagoas ;2700201;ANADIA;420000
2008;Alagoas ;2700300;ARAPIRACA;19379300
2008;Alagoas ;2700409;ATALAIA;1339950
2008;Alagoas ;2700508;BARRA DE SANTO ANTONIO;228500
2008;Alagoas ;2700607;BARRA DE SAO MIGUEL;861000
2008;Alagoas ;2700706;BATALHA;1004800
2008;Alagoas ;2700805;BELEM;165000
2008;Alagoas ;2701001;BOCA DA MATA;1039000
2008;Alagoas ;2701100;BRANQUINHA;35000
2008;Alagoas ;2701209;CACIMBINHAS;394000
2008;Alagoas ;2701308;CAJUEIRO;369000
2008;Alagoas ;2701407;CAMPO ALEGRE;809500
2008;Alagoas ;2701506;CAMPO GRANDE;355000
2008;Alagoas ;2701605;CANAPI;724500
2008;Alagoas ;2701704;CAPELA;358000
2008;Alagoas ;2701803;CARNEIROS;190000
2008;Alagoas ;2701902;CHA PRETA;125000
2008;Alagoas ;2702009;COITE DO NOIA;280000
2008;Alagoas ;2702108;COLONIA LEOPOLDINA;483000
2008;Alagoas ;2702306;CORURIPE;2364500
2008;Alagoas ;2702355;CRAIBAS;860000
2008;Alagoas ;2702306;CURURIPE;200000
2008;Alagoas ;2702405;DELMIRO GOUVEIA;3055500
2008;Alagoas ;2702504;DOIS RIACHOS;360000
2008;Alagoas ;2702553;ESTRELA DE ALAGOAS;365750
