ANO;ESTADO;CÓDIGO IBGE;Municípios;Vendas
2014;Acre ;1200013;ACRELANDIA;2206000
2014;Acre ;1200054;ASSIS BRASIL;580000
2014;Acre ;1200104;BRASILEIA;3316000
2014;Acre ;1200138;BUJARI;602000
2014;Acre ;1200179;CAPIXABA;1724500
2014;Acre ;1200203;CRUZEIRO DO SUL;13887000
2014;Acre ;1200252;EPITACIOLANDIA;2870000
2014;Acre ;1200302;FEIJO;2031000
2014;Acre ;1200328;JORDAO;75000
2014;Acre ;1200336;MANCIO LIMA;1390000
2014;Acre ;1200344;MANOEL URBANO;1070000
2014;Acre ;1200351;MARECHAL THAUMATURGO;640000
2014;Acre ;1200385;PLACIDO DE CASTRO;1622000
2014;Acre ;1200807;PORTO ACRE;1874000
2014;Acre ;1200393;PORTO WALTER;1025000
2014;Acre ;1200401;RIO BRANCO;88703250
2014;Acre ;1200427;RODRIGUES ALVES;622000
2014;Acre ;1200435;SANTA ROSA DO PURUS;105000
2014;Acre ;1200500;SENA MADUREIRA;4295000
2014;Acre ;1200450;SENADOR GUIOMARD;4897000
2014;Acre ;1200609;TARAUACA;3057000
2014;Acre ;1200708;XAPURI;1560000
2014;Alagoas ;2700102;AGUA BRANCA;1272000
2014;Alagoas ;2700201;ANADIA;790000
2014;Alagoas ;2700300;ARAPIRACA;50374500
2014;Alagoas ;2700409;ATALAIA;4730000
2014;Alagoas ;2700508;BARRA DE SANTO ANTONIO;1099500
2014;Alagoas ;2700607;BARRA DE SAO MIGUEL;3022500
2014;Alagoas ;2700706;BATALHA;3090500
2014;Alagoas ;2700805;BELEM;284000
2014;Alagoas ;2701001;BOCA DA MATA;2029000
2014;Alagoas ;2701100;BRANQUINHA;178000
2014;Alagoas ;2701209;CACIMBINHAS;1261500
2014;Alagoas ;2701308;CAJUEIRO;875500
2014;Alagoas ;2701357;CAMPESTRE;421000
2014;Alagoas ;2701407;CAMPO ALEGRE;2700000
2014;Alagoas ;2701506;CAMPO GRANDE;723000
2014;Alagoas ;2701605;CANAPI;952500
2014;Alagoas ;2701704;CAPELA;669500
2014;Alagoas ;2701803;CARNEIROS;515000
2014;Alagoas ;2701902;CHA PRETA;424000
2014;Alagoas ;2702009;COITE DO NOIA;993000
2014;Alagoas ;2702108;COLONIA LEOPOLDINA;634000
2014;Alagoas ;2702306;CORURIPE;5162000
2014;Alagoas ;2702355;CRAIBAS;2306000
2014;Alagoas ;2702405;DELMIRO GOUVEIA;7623000
2014;Alagoas ;2702504;DOIS RIACHOS;778000
2014;Alagoas ;2702553;ESTRELA DE ALAGOAS;416500
2014;Alagoas ;2702603;FEIRA GRANDE;835000
2014;Alagoas ;2702702;FELIZ DESERTO;485000
2014;Alagoas ;2702900;GIRAU DO PONCIANO;3257000
2014;Alagoas ;2703007;IBATEGUARA;898500
2014;Alagoas ;2703106;IGACI;1865000
2014;Alagoas ;2703205;IGREJA NOVA;42500
2014;Alagoas ;2703304;INHAPI;2019500
2014;Alagoas ;2703403;JACARE DOS HOMENS;119500
2014;Alagoas ;2703502;JACUIPE;277000
2014;Alagoas ;2703601;JAPARATINGA;422000
2014;Alagoas ;2703700;JARAMATAIA;309500
2014;Alagoas ;2703759;JEQUIA DA PRAIA;655000
2014;Alagoas ;2703809;JOAQUIM GOMES;687500
2014;Alagoas ;2703908;JUNDIA;173000
2014;Alagoas ;2704005;JUNQUEIRO;2681000
2014;Alagoas ;2704104;LAGOA DA CANOA;2144000
2014;Alagoas ;2704203;LIMOEIRO DE ANADIA;1535000
2014;Alagoas ;2704302;MACEIO;193165612
2014;Alagoas ;2704401;MAJOR ISIDORO;1702000
2014;Alagoas ;2704906;MAR VERMELHO;127500
2014;Alagoas ;2704500;MARAGOGI;4105000
2014;Alagoas ;2704609;MARAVILHA;925000
2014;Alagoas ;2704708;MARECHAL DEODORO;10094000
2014;Alagoas ;2704807;MARIBONDO;4670000
2014;Alagoas ;2705002;MATA GRANDE;1390000
2014;Alagoas ;2705101;MATRIZ DE CAMARAGIBE;1464000
2014;Alagoas ;2705200;MESSIAS;1899295
2014;Alagoas ;2705309;MINADOR DO NEGRAO;8500
2014;Alagoas ;2705408;MONTEIROPOLIS;585000
2014;Alagoas ;2705507;MURICI;1824000
2014;Alagoas ;2705606;NOVO LINO;1672000
2014;Alagoas ;2705705;OLHO D AGUA DAS FLORES;3822000
2014;Alagoas ;2705804;OLHO D AGUA DO CASADO;808000
2014;Alagoas ;2705903;OLHO D AGUA GRANDE;118500
2014;Alagoas ;2706000;OLIVENCA;330000
2014;Alagoas ;2706109;OURO BRANCO;877500
2014;Alagoas ;2706307;PALMEIRA DOS INDIOS;13162000
2014;Alagoas ;2706406;PAO DE ACUCAR;1894000
2014;Alagoas ;2706422;PARICONHA;344000
2014;Alagoas ;2706448;PARIPUEIRA;2276500
2014;Alagoas ;2706505;PASSO DE CAMARAGIBE;530000
2014;Alagoas ;2706604;PAULO JACINTO;435000
2014;Alagoas ;2706703;PENEDO;7375000
2014;Alagoas ;2706802;PIACABUCU;1260000
2014;Alagoas ;2706901;PILAR;3635000
2014;Alagoas ;2707107;PIRANHAS;3531000
2014;Alagoas ;2707206;POCO DAS TRINCHEIRAS;1138500
2014;Alagoas ;2707305;PORTO CALVO;3036205
2014;Alagoas ;2707404;PORTO DE PEDRAS;350000
2014;Alagoas ;2707503;PORTO REAL DO COLEGIO;1632500
2014;Alagoas ;2707602;QUEBRANGULO;413000
2014;Alagoas ;2707701;RIO LARGO;13806560
2014;Alagoas ;2708006;SANTANA DO IPANEMA;7246500
2014;Alagoas ;2708105;SANTANA DO MUNDAU;590500
2014;Alagoas ;2708303;SAO JOSE DA LAJE;1135500
2014;Alagoas ;2708402;SAO JOSE DA TAPERA;3145000
2014;Alagoas ;2708501;SAO LUIS DO QUITUNDE;1897500
2014;Alagoas ;2708600;SAO MIGUEL DOS CAMPOS;9723950
2014;Alagoas ;2708709;SAO MIGUEL DOS MILAGRES;679000
2014;Alagoas ;2708808;SAO SEBASTIAO;3705911
2014;Alagoas ;2708907;SATUBA;2335000
2014;Alagoas ;2708956;SENADOR RUI PALMEIRA;308000
2014;Alagoas ;2709004;TANQUE D ARCA;82000
2014;Alagoas ;2709103;TAQUARANA;2185000
2014;Alagoas ;2709152;TEOTONIO VILELA;2440000
2014;Alagoas ;2709202;TRAIPU;535000
2014;Alagoas ;2709301;UNIAO DOS PALMARES;7053000
2014;Alagoas ;2709400;VICOSA;2412500
2014;Amazonas;1300029;ALVARAES;840000
2014;Amazonas;1300060;AMATURA;555196
2014;Amazonas;1300086;ANAMA;10000
2014;Amazonas;1300102;ANORI;2038940
2014;Amazonas;1300144;APUI;2244000
2014;Amazonas;1300201;ATALAIA DO NORTE;30000
2014;Amazonas;1300300;AUTAZES;3506000
2014;Amazonas;1300409;BARCELOS;1308541
2014;Amazonas;1300508;BARREIRINHA;1606300
2014;Amazonas;1300607;BENJAMIN CONSTANT;229193
2014;Amazonas;1300631;BERURI;1174390
2014;Amazonas;1300680;BOA VISTA DO RAMOS;400000
2014;Amazonas;1300706;BOCA DO ACRE;3213000
2014;Amazonas;1300805;BORBA;1645000
2014;Amazonas;1300904;CANUTAMA;155000
2014;Amazonas;1301001;CARAUARI;1194533
2014;Amazonas;1301100;CAREIRO;2671000
2014;Amazonas;1301159;CAREIRO DA VARZEA;945000
