ANO;ESTADO;CÓDIGO IBGE;Municípios;Vendas
2000;Acre ;1200013;ACRELANDIA;32000
2000;Acre ;1200104;BRASILEIA;660000
2000;Acre ;1200138;BUJARI;10000
2000;Acre ;1200179;CAPIXABA;66000
2000;Acre ;1200203;CRUZEIRO DO SUL;4923000
2000;Acre ;1200252;EPITACIOLANDIA;175600
2000;Acre ;1200302;FEIJO;35000
2000;Acre ;1200336;MANCIO LIMA;170000
2000;Acre ;1200385;PLACIDO DE CASTRO;225000
2000;Acre ;1200807;PORTO ACRE;69000
2000;Acre ;1200401;RIO BRANCO;31191602
2000;Acre ;1200435;SANTA ROSA DO PURUS;85000
2000;Acre ;1200450;SENADOR GUIOMARD;736233
2000;Acre ;1200500;SENA MADUREIRA;835000
2000;Acre ;1200609;TARAUACA;513418
2000;Acre ;1200708;XAPURI;275000
2000;Alagoas ;2700102;AGUA BRANCA;229300
2000;Alagoas ;2700201;ANADIA;280000
2000;Alagoas ;2700300;ARAPIRACA;13605041
2000;Alagoas ;2700409;ATALAIA;1385000
2000;Alagoas ;2700508;BARRA DE SANTO ANTONIO;841900
2000;Alagoas ;2700607;BARRA DE SAO MIGUEL;1519850
2000;Alagoas ;2700706;BATALHA;631850
2000;Alagoas ;2700805;BELEM;135150
2000;Alagoas ;2701001;BOCA DA MATA;987266
2000;Alagoas ;2701100;BRANQUINHA;35000
2000;Alagoas ;2701209;CACIMBINHAS;128000
2000;Alagoas ;2701308;CAJUEIRO;488000
2000;Alagoas ;2701407;CAMPO ALEGRE;970100
2000;Alagoas ;2701506;CAMPO GRANDE;548000
2000;Alagoas ;2701605;CANAPI;226315
2000;Alagoas ;2701704;CAPELA;322300
2000;Alagoas ;2701902;CHA PRETA;105000
2000;Alagoas ;2702009;COITE DO NOIA;55000
2000;Alagoas ;2702108;COLONIA LEOPOLDINA;264200
2000;Alagoas ;2702306;CORURIPE;2365372
2000;Alagoas ;2702355;CRAIBAS;379400
2000;Alagoas ;2702405;DELMIRO GOUVEIA;1411100
2000;Alagoas ;2702504;DOIS RIACHOS;218850
2000;Alagoas ;2702553;ESTRELA DE ALAGOAS;388900
2000;Alagoas ;2702801;FLEXEIRAS;110000
2000;Alagoas ;2702900;GIRAU DO PONCIANO;618000
2000;Alagoas ;2703007;IBATEGUARA;95000
2000;Alagoas ;2703106;IGACI;458397
2000;Alagoas ;2703205;IGREJA NOVA;40946
2000;Alagoas ;2703304;INHAPI;512500
2000;Alagoas ;2703403;JACARE DOS HOMENS;185000
2000;Alagoas ;2703601;JAPARATINGA;365000
2000;Alagoas ;2703700;JARAMATAIA;89050
2000;Alagoas ;2703809;JOAQUIM GOMES;75000
2000;Alagoas ;2703908;JUNDIA;35000
2000;Alagoas ;2704005;JUNQUEIRO;1404540
