ANO;ESTADO;CÓDIGO IBGE;Municípios;Vendas
2010;Acre ;1200013;ACRELANDIA;1360000
2010;Acre ;1200054;ASSIS BRASIL;3354000
2010;Acre ;1200104;BRASILEIA;1500000
2010;Acre ;1200138;BUJARI;268000
2010;Acre ;1200179;CAPIXABA;898000
2010;Acre ;1200203;CRUZEIRO DO SUL;8988500
2010;Acre ;1200252;EPITACIOLANDIA;1579001
2010;Acre ;1200302;FEIJO;965000
2010;Acre ;1200328;JORDAO;65000
2010;Acre ;1200336;MANCIO LIMA;735000
2010;Acre ;1200344;MANOEL URBANO;320000
2010;Acre ;1200351;MARECHAL THAUMATURGO;530000
2010;Acre ;1200385;PLACIDO DE CASTRO;1154000
2010;Acre ;1200807;PORTO ACRE;2741000
2010;Acre ;1200393;PORTO WALTER;155000
2010;Acre ;1200401;RIO BRANCO;61671300
2010;Acre ;1200427;RODRIGUES ALVES;425000
2010;Acre ;1200500;SENA MADUREIRA;2682000
2010;Acre ;1200450;SENADOR GUIOMARD;3024000
2010;Acre ;1200609;TARAUACA;1580000
2010;Acre ;1200708;XAPURI;989000
2010;Alagoas ;2700102;AGUA BRANCA;840000
2010;Alagoas ;2700201;ANADIA;520000
2010;Alagoas ;2700300;ARAPIRACA;27348500
2010;Alagoas ;2700409;ATALAIA;2174500
2010;Alagoas ;2700508;BARRA DE SANTO ANTONIO;770000
2010;Alagoas ;2700607;BARRA DE SAO MIGUEL;1244500
2010;Alagoas ;2700706;BATALHA;1153650
2010;Alagoas ;2700805;BELEM;295000
2010;Alagoas ;2701001;BOCA DA MATA;925000
2010;Alagoas ;2701100;BRANQUINHA;143960
2010;Alagoas ;2701209;CACIMBINHAS;471500
2010;Alagoas ;2701308;CAJUEIRO;711000
2010;Alagoas ;2701357;CAMPESTRE;256500
2010;Alagoas ;2701407;CAMPO ALEGRE;924000
2010;Alagoas ;2701506;CAMPO GRANDE;409000
2010;Alagoas ;2701605;CANAPI;634000
2010;Alagoas ;2701704;CAPELA;287500
2010;Alagoas ;2701803;CARNEIROS;395000
2010;Alagoas ;2701902;CHA PRETA;96000
2010;Alagoas ;2702009;COITE DO NOIA;570000
2010;Alagoas ;2702108;COLONIA LEOPOLDINA;649000
2010;Alagoas ;2702306;CORURIPE;3289000
2010;Alagoas ;2702355;CRAIBAS;638500
2010;Alagoas ;2702405;DELMIRO GOUVEIA;3681500
2010;Alagoas ;2702504;DOIS RIACHOS;477500
2010;Alagoas ;2702553;ESTRELA DE ALAGOAS;424700
2010;Alagoas ;2702603;FEIRA GRANDE;545000
2010;Alagoas ;2702801;FLEXEIRAS;115000
2010;Alagoas ;2702900;GIRAU DO PONCIANO;1509000
2010;Alagoas ;2703007;IBATEGUARA;263500
2010;Alagoas ;2703106;IGACI;965000
2010;Alagoas ;2703205;IGREJA NOVA;422000
2010;Alagoas ;2703304;INHAPI;805000
2010;Alagoas ;2703403;JACARE DOS HOMENS;145000
2010;Alagoas ;2703502;JACUIPE;139500
2010;Alagoas ;2703601;JAPARATINGA;429000
2010;Alagoas ;2703700;JARAMATAIA;310000
2010;Alagoas ;2703759;JEQUIA DA PRAIA;395000
2010;Alagoas ;2703809;JOAQUIM GOMES;170500
2010;Alagoas ;2704005;JUNQUEIRO;1454310
2010;Alagoas ;2704104;LAGOA DA CANOA;759500
2010;Alagoas ;2704203;LIMOEIRO DE ANADIA;1031500
2010;Alagoas ;2704302;MACEIO;114452932
2010;Alagoas ;2704401;MAJOR ISIDORO;1081000
2010;Alagoas ;2704500;MARAGOGI;1690000
2010;Alagoas ;2704609;MARAVILHA;357000
2010;Alagoas ;2704708;MARECHAL DEODORO;5508460
2010;Alagoas ;2704807;MARIBONDO;2154500
2010;Alagoas ;2705002;MATA GRANDE;725000
2010;Alagoas ;2705101;MATRIZ DE CAMARAGIBE;1790000
2010;Alagoas ;2705200;MESSIAS;1365000
2010;Alagoas ;2705309;MINADOR DO NEGRAO;365000
2010;Alagoas ;2705408;MONTEIROPOLIS;285000
2010;Alagoas ;2705507;MURICI;787500
2010;Alagoas ;2705606;NOVO LINO;685000
2010;Alagoas ;2705705;OLHO D'AGUA DAS FLORES;2250000
