ANO;ESTADO;CÓDIGO IBGE;Municípios;Vendas
2007;Acre ;1200013;ACRELANDIA;810000
2007;Acre ;1200054;ASSIS BRASIL;32000
2007;Acre ;1200104;BRASILEIA;355000
2007;Acre ;1200138;BUJARI;560000
2007;Acre ;1200179;CAPIXABA;738000
2007;Acre ;1200203;CRUZEIRO DO SUL;6306470
2007;Acre ;1200252;EPITACIOLANDIA;607000
2007;Acre ;1200302;FEIJO;395000
2007;Acre ;1200336;MANCIO LIMA;440000
2007;Acre ;1200344;MANOEL URBANO;145000
2007;Acre ;1200351;MARECHAL THAUMATURGO;270000
2007;Acre ;1200203;MARIO LOBAO;485000
2007;Acre ;1200385;PLACIDO DE CASTRO;423000
2007;Acre ;1200807;PORTO ACRE;824000
2007;Acre ;1200393;PORTO WALTER;20000
2007;Acre ;1200401;RIO BRANCO;42656357,7555277
2007;Acre ;1200427;RODRIGUES ALVES;240000
2007;Acre ;1200500;SENA MADUREIRA;1585000
2007;Acre ;1200450;SENADOR GUIOMARD;1668000
2007;Acre ;1200609;TARAUACA;871900
2007;Acre ;1200708;XAPURI;555000
2007;Alagoas ;2700102;AGUA BRANCA;497000
2007;Alagoas ;2700201;ANADIA;340000
2007;Alagoas ;2700300;ARAPIRACA;18512350
2007;Alagoas ;2700409;ATALAIA;1050000
2007;Alagoas ;2700508;BARRA DE SANTO ANTONIO;271000
2007;Alagoas ;2700607;BARRA DE SAO MIGUEL;843500
2007;Alagoas ;2700706;BATALHA;747000
2007;Alagoas ;2700805;BELEM;60000
2007;Alagoas ;2701001;BOCA DA MATA;1097000
2007;Alagoas ;2701100;BRANQUINHA;90000
2007;Alagoas ;2701209;CACIMBINHAS;275000
2007;Alagoas ;2701308;CAJUEIRO;430500
2007;Alagoas ;2701407;CAMPO ALEGRE;679000
2007;Alagoas ;2701506;CAMPO GRANDE;250000
2007;Alagoas ;2701605;CANAPI;498500
2007;Alagoas ;2701704;CAPELA;315000
2007;Alagoas ;2701902;CHA PRETA;110000
2007;Alagoas ;2702009;COITE DO NOIA;280000
2007;Alagoas ;2702108;COLONIA LEOPOLDINA;530500
2007;Alagoas ;2702306;CORURIPE;2146500
2007;Alagoas ;2702355;CRAIBAS;1011000
2007;Alagoas ;2702306;CURURIPE;380000
2007;Alagoas ;2702405;DELMIRO GOUVEIA;2377500
2007;Alagoas ;2702504;DOIS RIACHOS;255000
2007;Alagoas ;2702553;ESTRELA DE ALAGOAS;341050
2007;Alagoas ;2702603;FEIRA GRANDE;250000
2007;Alagoas ;2702801;FLEXEIRAS;60000
2007;Alagoas ;2702900;GIRAU DO PONCIANO;755000
2007;Alagoas ;2703007;IBATEGUARA;320000
